AREACD,AREANM,WRH,ATF,ATSW,WWM,SWM,AHF,VAF
JOR005001001,Al-Jamiah,5.9,22.1,3,11.7,49.3,0.2,81.1
JOR005007001,Amman,9,15.9,3.2,20.9,57.3,0.9,83.9
JOR005002001,Jizah,10.7,20.5,3.6,31.3,65.2,2.7,96.4
JOR005004001,Marka,9.3,14.3,3,17.3,61.1,0.4,85.2
JOR005005001,Muaqqar,10.3,8.6,1.7,51.7,70.7,3.4,98.3
JOR005006002,Naoor,10.1,15.9,5.8,36.2,53.6,4.3,76.8
JOR005003001,Quaismeh,10.5,18.7,4,28.6,57.1,1,88.6
JOR005005002,Rajm Al-Shami,6.6,14.8,8.2,36.1,68.9,4.9,90.2
JOR005008001,Sahab,7.5,13,1.2,37,61.2,1.2,88.5
JOR005009001,Wadi Essier,8.7,21.2,2.8,10.4,58.5,0.4,87.4
JOR002002001,Ain Albasha,13.5,16.2,3.2,11.2,57.4,0.7,87.6
JOR002005003,Salt,13.1,9,1,9.5,44.2,0.5,81.4
JOR010001003,Madaba,5.6,15,2.1,25.9,60.8,1.4,92.7
JOR012002001,Dhlail,14.7,13.2,18.1,31.4,66.2,1,92.6
JOR012003001,Hashemiyah,15.1,16.1,25.6,14.1,55.3,0.5,98
JOR012001001,Russeifa,9.7,8.5,7.8,16.3,66.3,0.7,89.5
JOR012002002,Zarqa,9.3,15.2,7.8,15.1,60.3,0.7,88.4
JOR011003001,Badiyah Sh. Gh.,10.6,21.5,3.7,27.3,89.6,6.9,97.7
JOR011004003,Balama,7.6,18.5,14.1,16.3,81.5,1.1,95.7
JOR011003003,Hosha,14.2,18.9,1.2,25.4,91.7,3.6,99.4
JOR011004004,Irhab,9.8,13.7,0,15.7,92.2,0,99
JOR011003002,Khaldiyah,6.9,8.1,2.8,41.1,82.3,10.1,97.2
JOR011004001,Mafraq,8.7,12.7,1.1,22.3,89.6,3.1,96.7
JOR011004002,Manshiyah,12.4,11.6,0.8,16.3,94.6,0.8,99.2
JOR011002003,Sabha,9.8,21.3,1.6,34.4,80.3,4.9,90.2
JOR011003004,Serhan,8.6,14,3.3,29.6,93.8,4.9,99.2
JOR011002004,Um Al Jemal,9,21.6,6,23.9,86.6,9,97.8
JOR001002001,Ajloun,14.5,10.5,8.6,7.9,76.3,2,95.4
JOR001001001,Kufranjah,11.7,8.3,8.3,8.3,76.7,0,85
JOR001002003,Sakhrah,7.4,18.1,6.4,16,86.2,1.1,97.9
JOR007006001,Bani Kenanah,11.3,17.8,1.5,18.7,79.5,0.9,90.2
JOR007007001,Bani Obeid,7.9,26.7,2.4,9.3,72.2,1,93.3
JOR007008001,Irbid,8.4,21,1.7,12.5,73.5,0.9,93
JOR007002001,Koorah,10.5,15.5,2.3,12.4,74,0.6,95.8
JOR007003001,Mazar Shamali,10.2,18.1,3,19.9,82.5,2.4,95.2
JOR007009001,Ramtha,8.1,18.8,3,14.5,83.3,2.2,95.5
JOR007005001,Taybeh,5.1,15.3,1.5,19,86.9,0,99.3
JOR007004001,Wastiyya,15.2,11,5.5,15.2,71.7,0,93.1
JOR008001003,Jarash,10.2,17,5.6,13,59.5,0.4,89.2
JOR003002001,Aqaba,5.2,8.4,0.6,0.6,79.2,0,92.9
JOR004007001,Karak,3.6,5.1,17.4,14.4,49.2,1,87.2
JOR004004001,Mazar,7.9,8.8,5,33.9,40.2,0.8,82
JOR004004002,Moaab,18.2,16.4,7.3,58.2,32.7,3.6,89.1
JOR009001005,Maan,2.8,8.4,6.2,7.6,43.1,0.3,73.9
JOR009003001,Petra,11.1,0,1.4,19.4,30.6,0,59.7
JOR006002001,Tafiela,1.7,0,1.7,1.7,12.1,0,65.5
